titulo,maisTocada,letra,tamanho,polaridade,subjetividade,sentimento,keywords
A Palo Seco,1,"Se você vier me perguntar por onde andei No tempo em que você sonhava De olhos abertos, lhe direi Amigo, eu me desesperava  Sei que assim falando pensas Que esse desespero é moda em 76 Mas ando mesmo descontente Desesperadamente, eu grito em português Mas ando mesmo descontente Desesperadamente, eu grito em português Tenho vinte e cinco anos De sonho e de sangue E de América do Sul Por força deste destino Um tango argentino  Me vai bem melhor que um blues Sei que assim falando pensas Que esse desespero é moda em 76 E eu quero é que esse canto torto Feito faca, corte a carne de vocês E eu quero é que esse canto torto Feito faca, corte a carne de vocês Tenho vinte e cinco anos De sonho e de sangue E de América do Sul Por força deste destino Um tango argentino  Me vai bem melhor que um blues Sei que assim falando, pensas Que esse desespero é moda em 76 E eu quero é que esse canto torto Feito faca, corte a carne de vocês E eu quero é que esse canto torto Feito faca, corte a carne de vocês ",1000,-0.054545454545454564,0.4636363636363635,Neutro,"quero, canto, torto, "
Aguapé,0,"Capineiro de meu pai Não me cortes meus cabelos Minha mãe me penteou Minha madrasta me enterrou Pelo figo da figueira Que o passarim beliscou  Companheiro que passas pela estrada Seguindo pelo rumo do sertão Quando vires a cruz (a casa) abandonada Deixa-a em paz dormir na solidão Que vale o ramo do alecrim cheiroso Que lhe atiras nos braços (no seio) ao passar? Vais espantar o bando buliçoso Das borboletas, (mariposas) que lá vão pousar Esta casa não tem lá fora A casa não tem lá dentro Três cadeiras de madeira Uma sala, a mesa ao centro Rio aberto, barco solto Pau-d'arco florindo à porta Sob o qual, ainda há pouco Eu enterrei a filha morta Sob o qual, ainda há pouco Eu enterrei a filha morta Aqui os mortos são bons Pois não atrapalham nada Não comem o pão dos vivos Nem ocupam lugar na estrada Pois não comem o pão dos vivos Nem ocupam lugar na estrada Nada, nada A velha sentada, o ruido da renda A menina sentada roendo a merenda A velha sentada, o ruido da renda A menina sentada roendo a merenda Nada, nada Nada, nada, nada, nada Aqui não acontece nada, não Nada Nada, nada Nada, absolutamente nada E o aguapé, lá na lagoa Sobre a água nada E deixa a borda da canoa Perfumada É a chaminé à toa De uma fábrica, montada Sob a água, que fabrica Este ar puro da alvorada-da-da-da Nada, nada Nada, nada, nada, nada Aqui não acontece nada, não Nada, nada Nada, absolutamente nada ",1389,0.03234486102133161,0.3540723981900453,Neutro,"nada, sentada, estrada, "
Alucinação,1,"Eu não estou interessado Em nenhuma teoria Em nenhuma fantasia Nem no algo mais Nem em tinta pro meu rosto Ou oba oba, ou melodia Para acompanhar bocejos Sonhos matinais  Eu não estou interessado Em nenhuma teoria Nem nessas coisas do oriente Romances astrais A minha alucinação É suportar o dia-a-dia E meu delírio É a experiência Com coisas reais Um preto, um pobre Uma estudante Uma mulher sozinha Blue jeans e motocicletas Pessoas cinzas normais Garotas dentro da noite Revólver: cheira cachorro Os humilhados do parque Com os seus jornais Carneiros, mesa, trabalho Meu corpo que cai do oitavo andar E a solidão das pessoas Dessas capitais A violência da noite O movimento do tráfego Um rapaz delicado e alegre Que canta e requebra É demais! Cravos, espinhas no rosto Rock, Hot Dog Play it cool, baby Doze Jovens Coloridos Dois Policiais Cumprindo o seu duro dever E defendendo o seu amor E nossa vida Cumprindo o seu duro dever E defendendo o seu amor E nossa vida Mas eu não estou interessado Em nenhuma teoria Em nenhuma fantasia Nem no algo mais Longe o profeta do terror Que a laranja mecânica anuncia Amar e mudar as coisas Me interessa mais Amar e mudar as coisas Amar e mudar as coisas Me interessa mais Um preto, um pobre Uma estudante Uma mulher sozinha Blue jeans e motocicletas Pessoas cinzas normais Garotas dentro da noite Revólver: cheira cachorro Os humilhados do parque Com os seus jornais Carneiros, mesa, trabalho Meu corpo que cai do oitavo andar E a solidão das pessoas Dessas capitais A violência da noite O movimento do tráfego Um rapaz delicado e alegre Que canta e requebra É demais! Cravos, espinhas no rosto Rock, Hot Dog Play it cool, baby Doze Jovens Coloridos Dois Policiais Cumprindo o seu duro dever E defendendo o seu amor E nossa vida Cumprindo o seu duro dever E defendendo o seu amor E nossa vida Mas eu não estou interessado Em nenhuma teoria Em nenhuma fantasia Nem no algo mais Longe o profeta do terror Que a laranja mecânica anuncia Amar e mudar as coisas Me interessa mais Amar e mudar as coisas Amar e mudar as coisas Me interessa mais ",2083,0.19489795918367345,0.6006802721088436,Neutro,"coisas, nenhuma, amar, "
Amor de Perdição,0,"Entrar, ficar em ti Tem sido o meu melhor perigo Primeiro o meu viver Segundo este vil cantar de amigo Depois não pressenti sequer O que no pré em meio após Quer de si Quer de mim Quer de deus uma mulher Ama e faz o que quiseres Tu me falaste eu repeti Meu sim Nosso amor se perdeu Entre tantos quereres E hoje já era o que era Para não ter fim Nosso amor se perdeu Entre tantos quereres E hoje já era o que era Para não ter fim Odeio a tua paz Rejeito o teu perdão Pois qualquer sofrimento Passa mas o ter sofrido não O amor que diz talvez Não é gozado nem paz Deixa sempre a desejar Deixa no ar atrás Casos descasos Desastres da paixão Oh real ilusão O bem e o mal em vão Casos descasos Desastres da paixão Oh real ilusão Amor de perdição Odeio a tua paz Rejeito o teu perdão Pois qualquer sofrimento Passa mas o ter sofrido não O amor que diz talvez Não é gozado nem paz Deixa sempre a desejar Deixa no ar atrás Casos descasos Desastres da paixão Oh real ilusão O bem e o mal em vão Casos descasos Desastres da paixão Oh real ilusão Amor de perdição  ",1054,0.15621212121212125,0.5144444444444445,Neutro,"amor, paz, deixa, "
Amor e Crime,0,"Amor, não há amor Existem só provas de amor Mas, no amor, provas não bastam  Tudo mentira Tudo cinema Apenas cenas Quando, em ledo engano-me, acenas Regressando em algum trem Ah! Essa historia de amor Porque uns barcos se afastam E mil sereias cantam sem pudor Oh! Que trágico destino! Preferi-ser o assassino Ao amante leal E que os bandidos são úteis E nós, os amantes, fúteis Vulgaridade do mal Amar agora e crime Só a paixão nos redime Da obsessão do sublime Do ideal Tudo romance, tudo poema, apenas cenas Fazer mal do amor E a glória? E o sofrer, da paz? A quem? Ah! Essa historia de dor Buscar o amor sem vitória Voltar feliz, sem memória Ao paraíso terreal ",665,0.15694444444444444,0.6619047619047619,Neutro,"amor, tudo, provas, "
Apenas Um Rapaz Latino Americano,1,"Eu sou apenas um rapaz latino-americano Sem dinheiro no banco Sem parentes importantes E vindo do interior  Mas trago de cabeça uma canção do rádio Em que um antigo compositor baiano me dizia Tudo é divino, tudo é maravilhoso Mas trago de cabeça uma canção do rádio Em que um antigo compositor baiano me dizia Tudo é divino, tudo é maravilhoso Tenho ouvido muitos discos Conversado com pessoas Caminhado meu caminho Papo, som, dentro da noite E não tenho um amigo sequer Que 'inda acredite nisso não Tudo muda! E com toda razão Eu sou apenas um rapaz latino-americano Sem dinheiro no banco Sem parentes importantes E vindo do interior Mas sei que tudo é proibido Aliás, eu queria dizer que tudo é permitido Até beijar você no escuro do cinema Quando ninguém nos vê Mas sei que tudo é proibido Aliás, eu queria dizer que tudo é permitido Até beijar você no escuro do cinema Quando ninguém nos vê Não me peça que eu lhe faça uma canção como se deve Correta, branca, suave, muito limpa, muito leve Sons, palavras, são navalhas E eu não posso cantar como convém Sem querer ferir ninguém Mas não se preocupe, meu amigo Com os horrores que eu lhe digo Isto é somente uma canção A vida realmente é diferente Quer dizer, ao vivo é muito pior E eu sou apenas um rapaz latino-americano Sem dinheiro no banco Por favor, não saque a arma no saloon Eu sou apenas o cantor Mas se depois de cantar Você ainda quiser me atirar Mate-me logo, à tarde, às três Que à noite eu tenho um compromisso e não posso faltar Por causa de vocês Mas se depois de cantar Você ainda quiser me atirar Mate-me logo, à tarde, às três Que à noite eu tenho um compromisso e não posso faltar Por causa de vocês Eu sou apenas um rapaz latino-americano Sem dinheiro no banco Sem parentes importantes E vindo do interior Mas sei que nada é divino Nada, nada é maravilhoso Nada, nada é secreto Nada, nada é misterioso, não Na na na na na na na na Na na na na ",1917,0.1425478687978688,0.572815934065934,Neutro,"tudo, nada, apenas, "
Arte Final,0,"Desculpe qualquer coisa, passe outro dia, Agora eu estou por fora, volto logo, Não perturbe, pra vocês eu não estou.  Sessão de nostalgia, isto é lá com minha tia, Isto é lá com minha tia! Alô, presente, estou chegando, Alô futuro, já vou! Alô, presente, estou chegando, Alô futuro, já vou! Ora, Ora! Até vocês que ouvi dizer, São gente quase honesta. Ora, ora! Até vocês os reis da festa, Ora, essa! Não confiam mais em mim! E me tratam como tratam mulher, preto, Todos entramos no gueto Quando a coisa entrou no ar. Mas pegue leve, não empurre, seja breve, Conheço o meu lugar! Mas pegue leve, não empurre, seja breve, Conheço o meu lugar! Dancei, sei que dancei, Dancei meu bem! Mas vem que ainda tem! Dancei, sei que dancei, Dancei meu bem! Mas vem que ainda tem! Dancei, sei que dancei, Dancei meu bem! Mas vem que ainda tem! Dancei, sei que dancei, Dancei meu bem! Mas vem que ainda tem! E então, my friends? Bastou vender a minha alma ao diabo, E lá vem vocês seguindo o mau exemplo. Entrando numas de vender a própria mãe. Alguém se atreve a ir comigo Além do shopping center? Hein? Hein? Ah! Donde están los estudiantes? Os rapazes latino-americanos? Os aventureiros? Os anarquistas? Os artistas? Os sem-destino? Os rebeldes experimentadores? Os benditos? Malditos? Os renegados? Os sonhadores? Esperávamos os alquimistas, e lá vem chegando os bárbaros Os arrivistas, os consumistas, os mercadores. Minas, homens não há mais? Entre o Céu e a Terra não há mais nada Do que sex, drugs and Rock 'n' Roll? Por que o Adeus às armas? Não perguntes por quem os sinos dobram, Eles dobram por Ri! Ora, senhoras! Ora, senhores! Uma boa noite lustrada de neon pra vocês E o último a sair apague a luz do aeroporto E ainda que mal me pergunte: ""A saída será mesmo o aeroporto?"" ",1775,0.12804017857142858,0.4182857142857141,Neutro,"dancei, ora, vem, "
Até Amanhã,0,"Até amanhã Se o homem quiser - mesmo se chover Volto pra viver mulher Até amanhã Se houver amanhã - se eu vir amanhã Mando alguém dizer como é Acorda amor O sono acabou, Maria Bonita Vem fazer o café O homem comum inda nem levantou Mas a policia já está de pé Até amanhã Se o homem quiser - mesmo se chover Volto pra viver mulher Até amanhã Se houver amanhã - se eu vir amanhã Mando alguém dizer como é  ",404,0.05324675324675325,0.2428571428571429,Neutro,"amanhã, homem, quiser, "
Ate Mais Ver,0,"Ate mais ver, ate mais ver, meu camarada. Contigo em mim e ainda em ti, vou indo em dois qualquer distancia entre nos, tornada em nada,  só assinala um novo encontro pra depois. Só long sem gesto, um bie ao leu.. Não diga sorte Não fale adeus que enruga o olhar mais compassivo se, sob o sol, nada mais velho e vil que a morte,  quem viu, na vida, novidade em estar vivo?  ",373,0.1236742424242424,0.4428030303030303,Neutro,"ate, ver, nada, "
Baihuno,0,"Já que o tempo fez-te a graça de visitares o Norte, leva notícias de mim Diz àqueles da província que já me viste a perigo: na cidade grande enfim Conta aos amigos doutores que abandonei a escola pra cantar em cabaré, baiões Bárbaros, baihunos, com a mesma dura ternura que aprendi na estrada e em Che  Ah! metrópole violenta que extermina os miseráveis, negros párias, teus meninos! Mais uma estação no inferno, Babilônia, Dante eterno! há Minas? Outros destinos? Conta àquela namorada que vai ser sempre o meu céu, mesmo se eu virar estrela (E aquelas botas de couro combinam com o meu cabelo, já tão grande quanto o dela) E, no que toca à, família, dá-lhe um abraço apertado, que a todos possa abarcar Fora-da-lei, procurado me convém família unida contra quem me rebelar Cai o Muro de Berlim - cai sobre ti, sobre mim, Nova Ordem Mundial Camisa-de-força-de-vênus... Ah! quem compraria, ao menos, o velho gozo animal? Já que o tempo fez-te a graça de visitares o Norte, leva noticias de mim O cara caiu na vida, vendo seu mundo tão certo, assim tão perto do fim Dá flôres ao comandante que um dia me dispensou do serviço militar Ah! quem precisa de heróis: feras que matam na guerra e choram na volta ao lar Gênios-do-mal tropicais, poderosos bestiais, vergonhas de Mãe Gentil Fosse eu um Chico, um Gil, um Caetano, e cantaria, todo ufano: ""Os Anais Da Guerra Civil"" Ao pastor de minha igreja reza que essa ovelha negra jamais vai ficar branquinha - Não vendi a alma ao diabo... O diabo viu mau negócio nisso de comprar a minha Se meu pai, se minha mãe se perguntarem, sem jeito - Onde foi que a gente errou? Elogiando a loucura, e pondo-me entre os sonhadores, diz que o show já começou Trogloditas, traficantes, neonazistas, farsantes: barbárie, devastação O rinoceronte é mais decente do que essa gente demente do Ocidente tão cristão ",1841,-0.01678449238933109,0.5204615277195923,Neutro,"tão, mim, tempo, "
